"","Site","SiteSamp","MAP.mm","MAT.C","ph","watercontent","P","K","Cu","Mg","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"57","LCO-MXT-COM","LCO-MXT-COM-7",6.8711807071148,12.1274527780594,1.33539412673879,10.0064434266879,0.885663900921644,1.36105422854004,0.0447095592385199,1.07526666512947,0.110893653044886,2.15780727288029,0.282748498356412,0.643027047664637,0.150061634281465,0.821326918165047,-1.05187305644284,-0.0714947664144849,-0.350170615782927,-0.891402915901188,1.30722891566265,0.884694439706475,-15.2192395990372,22.9822018899332
"58","LWR-BHO-NCS","LWR-BHO-NCS-5",6.41772151898735,11.8781392549521,1.92117465224111,9.95819056682591,1.54958043951368,1.92622796290288,0.506901476378283,1.53506283131744,0.648895005879433,1.90211574112954,0.733646022848473,0.433052964924824,0.720006016596349,0.512841334723122,-1.3483353590942,0.302364383601081,-0.542618766308601,-0.475024153827204,1.52409638554217,0.954745647813834,-15.4617970715953,23.2902238736235
"59","UCP-MXG-NCD","UCP-MXG-NCD-3",6.36386948930598,11.9544855994979,1.53013910355487,9.52922767935428,1.42494028823231,1.62616514058953,0.20064109355831,1.10019777407546,0.499823326366399,1.948966639886,0.615985034396282,0.66141738720722,0.508525423232749,0.292362361110553,-1.38267973640404,0.483685835674366,-0.932900793329404,-0.819996275124446,1.17469879518072,1.26631956334879,-15.260694125528,23.3946121282733
"60","MHC-ONE-NCD","MHC-ONE-NCD-6",6.59013531209079,11.1515959059777,2.06027820710974,10.1112517774896,1.15446392156958,2.21988938141481,0.526292406239646,1.66544165612157,0.811380382148091,2.09458638973292,0.603694226041303,0.415186433621991,0.750448056768682,0.458766108249804,-1.25744480867269,-0.0244673960804771,-0.292731199660561,-0.452395003436702,1.48192771084337,0.921314318110481,-16.2190557719952,23.0826493254615
"61","OTO-MON-NCD","OTO-MON-NCD-4",6.15206241815801,11.7211914054367,1.7403400309119,9.88677205830855,1.08716857543497,1.4620495672398,0.219059872008544,1.39140198294074,0.449645336309669,1.90831313961512,0.630536820311007,0.735580497324239,0.395023392759637,0.134130665014804,-1.57935716722952,0.184782280480032,-0.391862392371246,-0.583441531026665,1.18072289156627,0.844213042232524,-15.4440257933909,23.6589894732361
"62","OTO-MXT-NCD","OTO-MXT-NCD-2",6.15206241815801,11.7211914054367,1.67851622874807,9.74224370025122,1.23007203976432,1.56848989214465,0.13367437074177,1.3869986645125,0.302423491696758,1.88538918809027,0.426795573746664,0.32543407636174,0.359317598814846,0.269265354117535,-1.58755606816016,0.146759216579349,-0.389432847261071,-0.873376317519521,1.10843373493976,0.798958690046365,-15.4447072313678,23.6588337449723
"63","OTO-MXT-NCD","OTO-MXT-NCD-8",6.15206241815801,11.7211914054367,1.61051004636785,9.67621863679651,1.09648237373857,1.43483274822565,0.219059872008544,1.47876066248611,0.274179282870789,2.0552534958413,0.412873436614815,0.574229484712675,0.0774501496213881,0.265397860735989,-1.57135423579776,0.22511593472986,-0.397281554993816,-0.562307038231866,1.63253012048193,0.798958690046365,-15.4447031016176,23.6585291789276
"64","LCO-MXT-COM","LCO-MXT-COM-2",6.8711807071148,12.1274527780594,1.31839258114374,10.1143917385465,1.04181538974414,1.38621769154751,0.0878879891913369,1.01495698042718,0.128171061016245,2.40554684588663,0.333249216493652,0.840960443317211,0.207160348772113,0.885522630513,-1.03570972450672,0.240179737799594,-0.768420335728118,-0.635129845307612,1.31927710843373,0.884694439706475,-15.2191041209726,22.9825042115742
"65","LCO-MXT-COM","LCO-MXT-COM-8",6.8711807071148,12.1274527780594,1.30448222565688,9.94889187720278,0.97077044559509,1.28882646120095,0.0430037068619188,0.993190365184242,0.121199501339358,2.09643041099326,0.274660610073933,0.681398583892272,0.21633062793894,0.665815807502226,-1.04158015151672,0.0825087422375835,-0.548479814798947,-0.873376317519521,1.23493975903614,0.884694439706475,-15.2192636433904,22.98213125432
"66","LWR-BHO-NCS","LWR-BHO-NCS-6",6.41772151898735,11.8781392549521,1.91499227202473,10.0196455172632,1.52443698931196,1.95704020426326,0.339557910666702,1.59234392580264,0.669568940931199,1.95353595477552,0.744531273066494,0.469510468620495,0.71821479443652,0.516791362872014,-1.30613932140101,0.361806192757728,-0.586095706435402,-0.842730785427068,1.43373493975904,0.954745647813834,-15.4618098747931,23.2902833196113
